,VARIABLE,LEVEL,_LABEL,_TABLE,CHECKED,,
629,CONCERN_LAWSUITS,6,1,1,1,,
634,CONCERN_LAWSUITS,7,1,1,1,,
639,CONCERN_MISUSE,1,1,1,1,,
644,CONCERN_MISUSE,2,1,1,1,,
649,CONCERN_MISUSE,3,1,1,1,,
654,CONCERN_MISUSE,4,1,1,1,,
659,CONCERN_MISUSE,5,1,1,1,,
664,CONCERN_MISUSE,6,1,1,1,,
669,CONCERN_MISUSE,7,1,1,1,,
674,CONCERN_NOISE,1,1,1,1,,
679,CONCERN_NOISE,2,1,1,1,,
684,CONCERN_NOISE,3,1,1,1,,
689,CONCERN_NOISE,4,1,1,1,,
694,CONCERN_NOISE,5,1,1,1,,
699,CONCERN_NOISE,6,1,1,1,,
704,CONCERN_NOISE,7,1,1,1,,
709,CONCERN_OTHER,1,,,1,,
714,CONCERN_OTHER,2,,,1,,
719,CONCERN_OTHER,3,,,1,,
724,CONCERN_OTHER,4,,,1,,
729,CONCERN_OTHER,5,,,1,,
734,CONCERN_OTHER,6,,,1,,
739,CONCERN_OTHER,7,,,1,,
744,CONCERN_REGULATIONS,1,1,1,1,,
749,CONCERN_REGULATIONS,2,1,1,1,,
754,CONCERN_REGULATIONS,3,1,1,1,,
759,CONCERN_REGULATIONS,4,1,1,1,,
764,CONCERN_REGULATIONS,5,1,1,1,,
769,CONCERN_REGULATIONS,6,1,1,1,,
774,CONCERN_REGULATIONS,7,1,1,1,,
779,CONCERN_STEALING,1,1,1,1,,
784,CONCERN_STEALING,2,1,1,1,,
789,CONCERN_STEALING,3,1,1,1,,
794,CONCERN_STEALING,4,1,1,1,,
799,CONCERN_STEALING,5,1,1,1,,
804,CONCERN_STEALING,6,1,1,1,,
809,CONCERN_STEALING,7,1,1,1,,
814,CONCERN_TAXES,1,1,1,1,,
819,CONCERN_TAXES,2,1,1,1,,
824,CONCERN_TAXES,3,1,1,1,,
829,CONCERN_TAXES,4,1,1,1,,
834,CONCERN_TAXES,5,1,1,1,,
839,CONCERN_TAXES,6,1,1,1,,
844,CONCERN_TAXES,7,1,1,1,,
849,CONCERN_TRESPASS,1,1,1,1,,
854,CONCERN_TRESPASS,2,1,1,1,,
859,CONCERN_TRESPASS,3,1,1,1,,
864,CONCERN_TRESPASS,4,1,1,1,,
869,CONCERN_TRESPASS,5,1,1,1,,
874,CONCERN_TRESPASS,6,1,1,1,,
879,CONCERN_TRESPASS,7,1,1,1,,
884,CORDS_OF_FIREWOOD,,,,1,,
886,COST_SHARE,0,1,1,1,,
891,COST_SHARE,1,1,1,1,,
896,COST_SHARE_RECENT,-2,1,1,1,,
901,COST_SHARE_RECENT,0,1,1,1,,
906,COST_SHARE_RECENT,1,1,1,1,,
911,COST_SHARE_RECENT,2,1,1,1,,
916,DISABILITY_BLIND,-2,,,,not applicable for FFOs,
921,DISABILITY_BLIND,0,1,1,1,,
926,DISABILITY_BLIND,1,1,1,1,,
931,DISABILITY_MOBILITY,-2,,,,not applicable for FFOs,
936,DISABILITY_MOBILITY,0,1,1,1,,
941,DISABILITY_MOBILITY,1,1,1,1,,
946,EASEMENT,0,1,1,1,,
951,EASEMENT,1,1,1,1,,
956,EASEMENT_FUTURE,-2,1,1,1,,
961,EASEMENT_FUTURE,0,1,1,1,,
966,EASEMENT_FUTURE,1,1,1,1,,
971,EASEMENT_FUTURE,2,1,1,1,,
976,EASEMENT_FUTURE,3,1,1,1,,
981,EDUCATION,-2,,,1,not applicable for FFOs,
986,EDUCATION,1,1,1,1,,
991,EDUCATION,2,1,1,1,,
996,EDUCATION,3,1,1,1,,
1001,EDUCATION,4,1,1,1,,
1006,EDUCATION,5,1,1,1,,
1011,EDUCATION,6,1,1,1,,
1016,FARM,0,1,1,1,,
1021,FARM,1,1,1,1,,
1026,FARM_ACRES,,,,1,,
1028,FIRE_HAZARD_REDUCTION,0,,,1,,
1033,FIRE_HAZARD_REDUCTION,1,1,1,1,,
1038,FUTURE_AFFORESTATION,0,,,1,,
1043,FUTURE_AFFORESTATION,1,1,1,1,,
1048,FUTURE_BUY,0,,,1,,
1053,FUTURE_BUY,1,1,1,1,,
1058,FUTURE_DEFORESTATION,0,,,1,,
1063,FUTURE_DEFORESTATION,1,1,1,1,,
1068,FUTURE_FIREWOOD,0,,,1,,
1073,FUTURE_FIREWOOD,1,1,1,1,,
1078,FUTURE_HEIRS,0,,,1,,
1083,FUTURE_HEIRS,1,1,1,1,,
1088,FUTURE_MINIMAL,0,,,1,,
1093,FUTURE_MINIMAL,1,1,1,1,,
1098,FUTURE_NO_ACTIVITY,0,,,1,,
1103,FUTURE_NO_ACTIVITY,1,1,1,1,,
1108,FUTURE_NO_PLANS,0,,,1,,
1113,FUTURE_NO_PLANS,1,1,1,1,,
1118,FUTURE_NTFP,0,,,1,,
1123,FUTURE_NTFP,1,1,1,1,,
1128,FUTURE_OTHER,0,,,1,,
1133,FUTURE_OTHER,1,1,1,1,,
1138,FUTURE_SAWLOGS,0,,,1,,
1143,FUTURE_SAWLOGS,1,1,1,1,,
1148,FUTURE_SELL,0,,,1,,
1153,FUTURE_SELL,1,1,1,1,,
1158,FUTURE_SUBDIVIDE,0,,,1,,
1163,FUTURE_SUBDIVIDE,1,1,1,1,,
1168,FUTURE_UNKNOWN,0,,,1,,
1173,FUTURE_UNKNOWN,1,1,1,1,,
1178,GENDER,-2,,,1,not applicable for FFOs,
1183,GENDER,0,1,1,1,,
1188,GENDER,1,1,1,1,,
1193,GENDER,2,1,1,1,what does this mean??? Probably both checked,
1198,HEALTH_AIR,1,1,1,1,,
1203,HEALTH_AIR,2,1,1,1,,
