,VARIABLE,LEVEL,_LABEL,_TABLE,CHECKED
1410,COMM_ASSIST,0,,,1
1415,COMM_ASSIST,1,1,1,1
1420,COMM_CHARITY,0,,,1
1425,COMM_CHARITY,1,1,1,1
1430,COMM_GENPOP,0,,,1
1435,COMM_GENPOP,1,1,1,1
1440,COMM_LO,0,,,1
1445,COMM_LO,1,1,1,1
1450,COMM_OTH,0,,,1
1455,COMM_OTH,1,1,1,1
1460,COMPANY_STRUCTURE,1,1,1,1
1465,COMPANY_STRUCTURE,2,1,1,1
1470,COMPANY_STRUCTURE,3,1,1,1
1475,COMPANY_STRUCTURE,4,1,1,1
1480,COMPANY_STRUCTURE,5,1,1,1
1485,EASE_PERC,NA,,,1
1487,EASE_PERC_CAT,0,1,1,1
1492,EASE_PERC_CAT,1,1,1,1
1497,EASE_PERC_CAT,20,1,1,1
1502,EASE_PERC_CAT,5,1,1,1
1507,EASE_PERC_CAT,50,1,1,1
1512,EVEN_AGE,0,1,1,1
1517,EVEN_AGE,1,1,1,1
1522,FMC,0,1,1,1
1527,FMC,1,1,1,1
1532,HOW_BIKE,-2,,,1
1537,HOW_BIKE,0,,,1
1542,HOW_BIKE,1,1,1,1
1547,HOW_CAMP,-2,,,1
1552,HOW_CAMP,0,,,1
1557,HOW_CAMP,1,1,1,1
1562,HOW_FISH,-2,,,1
1567,HOW_FISH,0,,,1
1572,HOW_FISH,1,1,1,1
1577,HOW_HIKE,-2,,,1
1582,HOW_HIKE,0,,,1
1587,HOW_HIKE,1,1,1,1
1592,HOW_HORSE,-2,,,1
1597,HOW_HORSE,0,,,1
1602,HOW_HORSE,1,1,1,1
1607,HOW_HUNT,-2,1,1,1
1612,HOW_HUNT,0,,,1
1617,HOW_HUNT,1,1,1,1
1622,HOW_OHV,-2,,,1
1627,HOW_OHV,0,,,1
1632,HOW_OHV,1,1,1,1
1637,HOW_OTH,-2,,,1
1642,HOW_OTH,0,,,1
1647,HOW_OTH,1,1,1,1
1652,HOW_SKI,-2,,,1
1657,HOW_SKI,0,,,1
1662,HOW_SKI,1,1,1,1
1667,LONG_TERM,0,1,1,1
1672,LONG_TERM,1,1,1,1
1677,LONG_TERM_PERC,-2,1,1,1
1682,LONG_TERM_PERC,1,1,1,1
1687,LONG_TERM_PERC,2,1,1,1
1692,LONG_TERM_PERC,3,1,1,1
1697,LONG_TERM_PERC,4,1,1,1
1702,LONG_TERM_PERC,5,1,1,1
1707,MAN_IN,0,,,1
1712,MAN_IN,1,1,1,1
1717,MAN_LOCAL,0,,,1
1722,MAN_LOCAL,1,1,1,1
1727,MAN_NATL,0,,,1
