,VARIABLE,LEVEL,_LABEL,_TABLE,CHECKED,,
204,ACTIVITY_PRIV_REC,0,,,1,,
209,ACTIVITY_PRIV_REC,1,1,1,1,,
214,ACTIVITY_REC_PUBLIC,0,,,1,,
219,ACTIVITY_REC_PUBLIC,1,1,1,1,,
234,ADVICE_EXTENSION,-2,,,1,,
239,ADVICE_EXTENSION,0,,,1,,
244,ADVICE_EXTENSION,1,1,1,1,,
249,ADVICE_FOREST_INDUSTRY,-2,,,1,,
254,ADVICE_FOREST_INDUSTRY,0,,,1,,
259,ADVICE_FOREST_INDUSTRY,1,1,1,1,,
264,ADVICE_FORESTER,-2,,,1,,
269,ADVICE_FORESTER,0,,,1,,
274,ADVICE_FORESTER,1,1,1,1,,
279,ADVICE_LANDOWNER,-2,,,1,,
284,ADVICE_LANDOWNER,0,,,1,,
289,ADVICE_LANDOWNER,1,1,1,1,,
294,ADVICE_LOGGER,-2,,,1,,
299,ADVICE_LOGGER,0,,,1,,
304,ADVICE_LOGGER,1,1,1,1,,
309,ADVICE_NPO,-2,,,1,,
314,ADVICE_NPO,0,,,1,,
319,ADVICE_NPO,1,1,1,1,,
324,ADVICE_NRCS,-2,,,1,,
329,ADVICE_NRCS,0,,,1,,
334,ADVICE_NRCS,1,1,1,1,,
339,ADVICE_OTHER,-2,1,1,1,,
344,ADVICE_OTHER,0,,,1,,
349,ADVICE_OTHER,1,1,1,1,,
354,ADVICE_STATE_FORESTRY,-2,,,1,,
359,ADVICE_STATE_FORESTRY,0,,,1,,
364,ADVICE_STATE_FORESTRY,1,1,1,1,,
369,ADVICE_STATE_OTHER,-2,,,1,,
374,ADVICE_STATE_OTHER,0,,,1,,
379,ADVICE_STATE_OTHER,1,1,1,1,,
384,ADVICE_UNKNOWN,-2,,,1,,
389,ADVICE_UNKNOWN,0,,,1,,
394,ADVICE_UNKNOWN,1,1,1,1,,
399,AGE,-2,,,1,,not applicable is inappropriate for FFOs
404,AGE,20,1,1,1,,
409,AGE,30,1,1,1,,
414,AGE,40,1,1,1,,
419,AGE,50,1,1,1,,
424,AGE,60,1,1,1,,
429,AGE,70,1,1,1,,
434,AGE,80,1,1,1,,
439,CERTIFIED_FUTURE,-2,1,1,1,,
444,CERTIFIED_FUTURE,0,1,1,1,,
449,CERTIFIED_FUTURE,1,1,1,1,,
454,CERTIFIED_FUTURE,2,1,1,1,,
459,CERTIFIED_FUTURE,3,1,1,1,,
464,CERTIFIED_KNOWLEDGE,0,1,1,1,,
469,CERTIFIED_KNOWLEDGE,1,1,1,1,,
474,CERTIFIED_LAND,-2,1,1,1,,
479,CERTIFIED_LAND,0,1,1,1,,
484,CERTIFIED_LAND,1,1,1,1,,
489,CHEMICAL_APPLICATION,0,,,1,,
494,CHEMICAL_APPLICATION,1,1,1,1,,
499,CONCERN_DEVELOPMENT,1,,,,,
504,CONCERN_DEVELOPMENT,2,,,,,
509,CONCERN_DEVELOPMENT,3,,,,,
514,CONCERN_DEVELOPMENT,4,,,,,
519,CONCERN_DEVELOPMENT,5,,,,,
524,CONCERN_DEVELOPMENT,6,,,,,
529,CONCERN_DEVELOPMENT,7,,,,,
534,CONCERN_ENDANGERED_SPECIES,1,,,,,
539,CONCERN_ENDANGERED_SPECIES,2,,,,,
544,CONCERN_ENDANGERED_SPECIES,3,,,,,
549,CONCERN_ENDANGERED_SPECIES,4,,,,,
554,CONCERN_ENDANGERED_SPECIES,5,,,,,
559,CONCERN_ENDANGERED_SPECIES,6,,,,,
564,CONCERN_ENDANGERED_SPECIES,7,,,,,
569,CONCERN_HEIRS,1,,,,,
574,CONCERN_HEIRS,2,,,,,
579,CONCERN_HEIRS,3,,,,,
584,CONCERN_HEIRS,4,,,,,
589,CONCERN_HEIRS,5,,,,,
594,CONCERN_HEIRS,6,,,,,
599,CONCERN_HEIRS,7,,,,,
604,CONCERN_LAWSUITS,1,,,,,
609,CONCERN_LAWSUITS,2,,,,,
614,CONCERN_LAWSUITS,3,,,,,
619,CONCERN_LAWSUITS,4,,,,,
624,CONCERN_LAWSUITS,5,,,,,
629,CONCERN_LAWSUITS,6,,,,,
634,CONCERN_LAWSUITS,7,,,,,
639,CONCERN_MISUSE,1,,,,,
644,CONCERN_MISUSE,2,,,,,
649,CONCERN_MISUSE,3,,,,,
654,CONCERN_MISUSE,4,,,,,
659,CONCERN_MISUSE,5,,,,,
664,CONCERN_MISUSE,6,,,,,
669,CONCERN_MISUSE,7,,,,,
674,CONCERN_NOISE,1,,,,,
679,CONCERN_NOISE,2,,,,,
684,CONCERN_NOISE,3,,,,,
689,CONCERN_NOISE,4,,,,,
694,CONCERN_NOISE,5,,,,,
699,CONCERN_NOISE,6,,,,,
704,CONCERN_NOISE,7,,,,,
709,CONCERN_OTHER,1,,,,,
714,CONCERN_OTHER,2,,,,,
719,CONCERN_OTHER,3,,,,,
724,CONCERN_OTHER,4,,,,,
729,CONCERN_OTHER,5,,,,,
734,CONCERN_OTHER,6,,,,,
739,CONCERN_OTHER,7,,,,,
744,CONCERN_REGULATIONS,1,,,,,
749,CONCERN_REGULATIONS,2,,,,,
754,CONCERN_REGULATIONS,3,,,,,
759,CONCERN_REGULATIONS,4,,,,,
764,CONCERN_REGULATIONS,5,,,,,
769,CONCERN_REGULATIONS,6,,,,,
774,CONCERN_REGULATIONS,7,,,,,
779,CONCERN_STEALING,1,,,,,
784,CONCERN_STEALING,2,,,,,
789,CONCERN_STEALING,3,,,,,
794,CONCERN_STEALING,4,,,,,
799,CONCERN_STEALING,5,,,,,
804,CONCERN_STEALING,6,,,,,
809,CONCERN_STEALING,7,,,,,
814,CONCERN_TAXES,1,,,,,
819,CONCERN_TAXES,2,,,,,
824,CONCERN_TAXES,3,,,,,
829,CONCERN_TAXES,4,,,,,
834,CONCERN_TAXES,5,,,,,
839,CONCERN_TAXES,6,,,,,
844,CONCERN_TAXES,7,,,,,
849,CONCERN_TRESPASS,1,,,,,
854,CONCERN_TRESPASS,2,,,,,
859,CONCERN_TRESPASS,3,,,,,
864,CONCERN_TRESPASS,4,,,,,
869,CONCERN_TRESPASS,5,,,,,
874,CONCERN_TRESPASS,6,,,,,
879,CONCERN_TRESPASS,7,,,,,
884,CORDS_OF_FIREWOOD,,,,,,
886,COST_SHARE,0,,,,,
891,COST_SHARE,1,,,,,
896,COST_SHARE_RECENT,-2,,,,,
901,COST_SHARE_RECENT,0,,,,,
906,COST_SHARE_RECENT,1,,,,,
911,COST_SHARE_RECENT,2,,,,,
916,DISABILITY_BLIND,-2,,,,,
921,DISABILITY_BLIND,0,,,,,
926,DISABILITY_BLIND,1,,,,,
931,DISABILITY_MOBILITY,-2,,,,,
936,DISABILITY_MOBILITY,0,,,,,
941,DISABILITY_MOBILITY,1,,,,,
946,EASEMENT,0,,,,,
951,EASEMENT,1,,,,,
956,EASEMENT_FUTURE,-2,,,,,
961,EASEMENT_FUTURE,0,,,,,
966,EASEMENT_FUTURE,1,,,,,
971,EASEMENT_FUTURE,2,,,,,
976,EASEMENT_FUTURE,3,,,,,
981,EDUCATION,-2,,,,,
986,EDUCATION,1,,,,,
991,EDUCATION,2,,,,,
996,EDUCATION,3,,,,,
1001,EDUCATION,4,,,,,
1006,EDUCATION,5,,,,,
1011,EDUCATION,6,,,,,
1016,FARM,0,,,,,
1021,FARM,1,,,,,
1026,FARM_ACRES,,,,,,
1028,FIRE_HAZARD_REDUCTION,0,,,1,,
1033,FIRE_HAZARD_REDUCTION,1,1,1,1,,
1038,FUTURE_AFFORESTATION,0,,,,,
1043,FUTURE_AFFORESTATION,1,,,,,
1048,FUTURE_BUY,0,,,,,
1053,FUTURE_BUY,1,,,,,
1058,FUTURE_DEFORESTATION,0,,,,,
1063,FUTURE_DEFORESTATION,1,,,,,
1068,FUTURE_FIREWOOD,0,,,,,
1073,FUTURE_FIREWOOD,1,,,,,
1078,FUTURE_HEIRS,0,,,,,
1083,FUTURE_HEIRS,1,,,,,
1088,FUTURE_MINIMAL,0,,,,,
1093,FUTURE_MINIMAL,1,,,,,
1098,FUTURE_NO_ACTIVITY,0,,,,,
1103,FUTURE_NO_ACTIVITY,1,,,,,
1108,FUTURE_NO_PLANS,0,,,,,
1113,FUTURE_NO_PLANS,1,,,,,
1118,FUTURE_NTFP,0,,,,,
1123,FUTURE_NTFP,1,,,,,
1128,FUTURE_OTHER,0,,,,,
1133,FUTURE_OTHER,1,,,,,
1138,FUTURE_SAWLOGS,0,,,,,
1143,FUTURE_SAWLOGS,1,,,,,
1148,FUTURE_SELL,0,,,,,
1153,FUTURE_SELL,1,,,,,
1158,FUTURE_SUBDIVIDE,0,,,,,
1163,FUTURE_SUBDIVIDE,1,,,,,
1168,FUTURE_UNKNOWN,0,,,,,
1173,FUTURE_UNKNOWN,1,,,,,
1178,GENDER,-2,,,,,
1183,GENDER,0,,,,,
1188,GENDER,1,,,,,
1193,GENDER,2,,,,,
1198,HEALTH_AIR,1,,,,,
1203,HEALTH_AIR,2,,,,,
1208,HEALTH_AIR,3,,,,,
1213,HEALTH_AIR,4,,,,,
1218,HEALTH_AIR,5,,,,,
1223,HEALTH_AIR,6,,,,,
1228,HEALTH_AIR,7,,,,,
1233,HEALTH_DOMESTIC_ANIMALS,1,,,,,
1238,HEALTH_DOMESTIC_ANIMALS,2,,,,,
1243,HEALTH_DOMESTIC_ANIMALS,3,,,,,
1248,HEALTH_DOMESTIC_ANIMALS,4,,,,,
1253,HEALTH_DOMESTIC_ANIMALS,5,,,,,
1258,HEALTH_DOMESTIC_ANIMALS,6,,,,,
1263,HEALTH_DOMESTIC_ANIMALS,7,,,,,
1268,HEALTH_EXOTICS,1,,,,,
1273,HEALTH_EXOTICS,2,,,,,
1278,HEALTH_EXOTICS,3,,,,,
1283,HEALTH_EXOTICS,4,,,,,
1288,HEALTH_EXOTICS,5,,,,,
1293,HEALTH_EXOTICS,6,,,,,
1298,HEALTH_EXOTICS,7,,,,,
1303,HEALTH_FIRE,1,,,,,
1308,HEALTH_FIRE,2,,,,,
1313,HEALTH_FIRE,3,,,,,
1318,HEALTH_FIRE,4,,,,,
1323,HEALTH_FIRE,5,,,,,
1328,HEALTH_FIRE,6,,,,,
1333,HEALTH_FIRE,7,,,,,
1338,HEALTH_INSECTS,1,,,,,
1343,HEALTH_INSECTS,2,,,,,
1348,HEALTH_INSECTS,3,,,,,
1353,HEALTH_INSECTS,4,,,,,
1358,HEALTH_INSECTS,5,,,,,
1363,HEALTH_INSECTS,6,,,,,
1368,HEALTH_INSECTS,7,,,,,
1373,HEALTH_OTHER,1,,,,,
1378,HEALTH_OTHER,2,,,,,
1383,HEALTH_OTHER,3,,,,,
1388,HEALTH_OTHER,4,,,,,
1393,HEALTH_OTHER,5,,,,,
1398,HEALTH_OTHER,6,,,,,
1403,HEALTH_OTHER,7,,,,,
1408,HEALTH_REGENERATION,1,,,,,
1413,HEALTH_REGENERATION,2,,,,,
1418,HEALTH_REGENERATION,3,,,,,
1423,HEALTH_REGENERATION,4,,,,,
1428,HEALTH_REGENERATION,5,,,,,
1433,HEALTH_REGENERATION,6,,,,,
1438,HEALTH_REGENERATION,7,,,,,
1443,HEALTH_STORMS,1,,,,,
1448,HEALTH_STORMS,2,,,,,
1453,HEALTH_STORMS,3,,,,,
1458,HEALTH_STORMS,4,,,,,
1463,HEALTH_STORMS,5,,,,,
1468,HEALTH_STORMS,6,,,,,
1473,HEALTH_STORMS,7,,,,,
1478,HEALTH_WILD_ANIMALS,1,,,,,
1483,HEALTH_WILD_ANIMALS,2,,,,,
1488,HEALTH_WILD_ANIMALS,3,,,,,
1493,HEALTH_WILD_ANIMALS,4,,,,,
1498,HEALTH_WILD_ANIMALS,5,,,,,
1503,HEALTH_WILD_ANIMALS,6,,,,,
1508,HEALTH_WILD_ANIMALS,7,,,,,
1513,HISPANIC,-2,,,,,
1518,HISPANIC,0,,,,,
1523,HISPANIC,1,,,,,
1528,HRV_CLEAR,-2,,,,,
1533,HRV_CLEAR,0,,,,,
1538,HRV_CLEAR,1,,,,,
1543,HRV_CONSULT,-2,,,,,
1548,HRV_CONSULT,0,,,,,
1553,HRV_CONSULT,1,,,,,
1558,HRV_CONSULT,2,,,,,
1563,HRV_FIRE,-2,,,,,
1568,HRV_FIRE,0,,,,,
1573,HRV_FIRE,1,,,,,
1578,HRV_HUNT,-2,,,,,
1583,HRV_HUNT,0,,,,,
1588,HRV_HUNT,1,,,,,
1593,HRV_MATURE,-2,,,,,
1598,HRV_MATURE,0,,,,,
1603,HRV_MATURE,1,,,,,
1608,HRV_MONEY,-2,,,,,
1613,HRV_MONEY,0,,,,,
1618,HRV_MONEY,1,,,,,
1623,HRV_OTHER,-2,,,,,
1628,HRV_OTHER,0,,,,,
1633,HRV_OTHER,1,,,,,
1638,HRV_PLAN,-2,,,,,
1643,HRV_PLAN,0,,,,,
1648,HRV_PLAN,1,,,,,
1653,HRV_POSTS,-2,,,,,
1658,HRV_POSTS,0,,,,,
1663,HRV_POSTS,1,,,,,
1668,HRV_PRICE,-2,,,,,
1673,HRV_PRICE,0,,,,,
1678,HRV_PRICE,1,,,,,
1683,HRV_PULP,-2,,,,,
1688,HRV_PULP,0,,,,,
1693,HRV_PULP,1,,,,,
1698,HRV_REASON_OTHER,-2,,,,,
1703,HRV_REASON_OTHER,0,,,,,
1708,HRV_REASON_OTHER,1,,,,,
1713,HRV_RECENT,-2,,,,,
1718,HRV_RECENT,0,,,,,
1723,HRV_RECENT,1,,,,,
1728,HRV_RECENT,2,,,,,
1733,HRV_RECREATE,-2,,,,,
1738,HRV_RECREATE,0,,,,,
1743,HRV_RECREATE,1,,,,,
1748,HRV_REMAINING_TREES,-2,,,,,
1753,HRV_REMAINING_TREES,0,,,,,
1758,HRV_REMAINING_TREES,1,,,,,
1763,HRV_SALVAGE,-2,,,,,
1768,HRV_SALVAGE,0,,,,,
1773,HRV_SALVAGE,1,,,,,
1778,HRV_SAW,-2,,,,,
1783,HRV_SAW,0,,,,,
1788,HRV_SAW,1,,,,,
1793,HRV_USE,-2,,,,,
1798,HRV_USE,0,,,,,
1803,HRV_USE,1,,,,,
1808,HRV_VENEER,-2,,,,,
1813,HRV_VENEER,0,,,,,
1818,HRV_VENEER,1,,,,,
1853,LEARN_CONFERENCES,1,,,,,
1858,LEARN_CONFERENCES,2,,,,,
1863,LEARN_CONFERENCES,3,,,,,
1868,LEARN_CONFERENCES,4,,,,,
1873,LEARN_CONFERENCES,5,,,,,
1878,LEARN_CONFERENCES,6,,,,,
1883,LEARN_CONFERENCES,7,,,,,
1888,LEARN_CONFERENCES,9,,,,,
1893,LEARN_FORESTER,1,,,,,
1898,LEARN_FORESTER,2,,,,,
1903,LEARN_FORESTER,3,,,,,
1908,LEARN_FORESTER,4,,,,,
1913,LEARN_FORESTER,5,,,,,
1918,LEARN_FORESTER,6,,,,,
1923,LEARN_FORESTER,7,,,,,
1928,LEARN_FORESTER,9,,,,,
1933,LEARN_INTERNET,1,,,,,
1938,LEARN_INTERNET,2,,,,,
1943,LEARN_INTERNET,3,,,,,
1948,LEARN_INTERNET,4,,,,,
1953,LEARN_INTERNET,5,,,,,
1958,LEARN_INTERNET,6,,,,,
1963,LEARN_INTERNET,7,,,,,
1968,LEARN_INTERNET,9,,,,,
1973,LEARN_LOGGER,1,,,,,
1978,LEARN_LOGGER,2,,,,,
1983,LEARN_LOGGER,3,,,,,
1988,LEARN_LOGGER,4,,,,,
1993,LEARN_LOGGER,5,,,,,
1998,LEARN_LOGGER,6,,,,,
2003,LEARN_LOGGER,7,,,,,
2008,LEARN_LOGGER,9,,,,,
2013,LEARN_MEMBERSHIP,1,,,,,
2018,LEARN_MEMBERSHIP,2,,,,,
2023,LEARN_MEMBERSHIP,3,,,,,
2028,LEARN_MEMBERSHIP,4,,,,,
2033,LEARN_MEMBERSHIP,5,,,,,
2038,LEARN_MEMBERSHIP,6,,,,,
2043,LEARN_MEMBERSHIP,7,,,,,
2048,LEARN_MEMBERSHIP,9,,,,,
2053,LEARN_NEWSLETTERS,1,,,,,
2058,LEARN_NEWSLETTERS,2,,,,,
2063,LEARN_NEWSLETTERS,3,,,,,
2068,LEARN_NEWSLETTERS,4,,,,,
2073,LEARN_NEWSLETTERS,5,,,,,
2078,LEARN_NEWSLETTERS,6,,,,,
2083,LEARN_NEWSLETTERS,7,,,,,
2088,LEARN_NEWSLETTERS,9,,,,,
2093,LEARN_OWNER,1,,,,,
2098,LEARN_OWNER,2,,,,,
2103,LEARN_OWNER,3,,,,,
2108,LEARN_OWNER,4,,,,,
2113,LEARN_OWNER,5,,,,,
2118,LEARN_OWNER,6,,,,,
2123,LEARN_OWNER,7,,,,,
2128,LEARN_OWNER,9,,,,,
2133,LEARN_PUBS,1,,,,,
2138,LEARN_PUBS,2,,,,,
2143,LEARN_PUBS,3,,,,,
2148,LEARN_PUBS,4,,,,,
2153,LEARN_PUBS,5,,,,,
2158,LEARN_PUBS,6,,,,,
2163,LEARN_PUBS,7,,,,,
2168,LEARN_PUBS,9,,,,,
2173,LEARN_TV,1,,,,,
2178,LEARN_TV,2,,,,,
2183,LEARN_TV,3,,,,,
2188,LEARN_TV,4,,,,,
2193,LEARN_TV,5,,,,,
2198,LEARN_TV,6,,,,,
2203,LEARN_TV,7,,,,,
2208,LEARN_TV,9,,,,,
2213,LEARN_VIDEOS,1,,,,,
2218,LEARN_VIDEOS,2,,,,,
2223,LEARN_VIDEOS,3,,,,,
2228,LEARN_VIDEOS,4,,,,,
2233,LEARN_VIDEOS,5,,,,,
2238,LEARN_VIDEOS,6,,,,,
2243,LEARN_VIDEOS,7,,,,,
2248,LEARN_VIDEOS,9,,,,,
2253,LEARN_VISITING,1,,,,,
2258,LEARN_VISITING,2,,,,,
2263,LEARN_VISITING,3,,,,,
2268,LEARN_VISITING,4,,,,,
2273,LEARN_VISITING,5,,,,,
2278,LEARN_VISITING,6,,,,,
2283,LEARN_VISITING,7,,,,,
2288,LEARN_VISITING,9,,,,,
2293,LEASE_GRAZE_2,-2,,,,,
2298,LEASE_GRAZE_2,0,,,,,
2303,LEASE_GRAZE_2,1,,,,,
2308,LEASE_HUNT_2,-2,,,,,
2313,LEASE_HUNT_2,0,,,,,
2318,LEASE_HUNT_2,1,,,,,
2323,LEASE_NTFP_2,-2,,,,,
2328,LEASE_NTFP_2,0,,,,,
2333,LEASE_NTFP_2,1,,,,,
2338,LEASE_OTHER_2,-2,,,,,
2343,LEASE_OTHER_2,0,,,,,
2348,LEASE_OTHER_2,1,,,,,
2353,LEASE_RECENT,-2,,,,,
2358,LEASE_RECENT,0,,,,,
2363,LEASE_RECENT,1,,,,,
2368,LEASE_RECENT,2,,,,,
2373,LEASE_RECREATE_2,-2,,,,,
2378,LEASE_RECREATE_2,0,,,,,
2383,LEASE_RECREATE_2,1,,,,,
2388,LEASE_TIMBER_2,-2,,,,,
2393,LEASE_TIMBER_2,0,,,,,
2398,LEASE_TIMBER_2,1,,,,,
2403,LEASED,0,,,,,
2408,LEASED,1,,,,,
2413,MANAGEMENT_PLAN,0,,,,,
2418,MANAGEMENT_PLAN,1,,,,,
2423,MANAGEMENT_PLAN,2,,,,,
2428,MANAGER_FAMILY,0,,,,,
2433,MANAGER_FAMILY,1,,,,,
2438,MANAGER_FORESTER,0,,,,,
2443,MANAGER_FORESTER,1,,,,,
2448,MANAGER_LEASEE,0,,,,,
2453,MANAGER_LEASEE,1,,,,,
2458,MANAGER_LOGGER,0,,,,,
2463,MANAGER_LOGGER,1,,,,,
2468,MANAGER_OTHER,0,,,,,
2473,MANAGER_OTHER,1,,,,,
2478,MANAGER_OWNER,0,,,,,
2483,MANAGER_OWNER,1,,,,,
2488,MANAGER_PARTNER,0,,,,,
2493,MANAGER_PARTNER,1,,,,,
2498,NOT_ORGANIZATION,0,,,,,
2503,NOT_ORGANIZATION,1,,,,,
2508,NTFP_COLLECT,0,,,,,
2513,NTFP_COLLECT,1,,,,,
2518,NTFP_CULTURAL,-2,,,,,
2523,NTFP_CULTURAL,0,,,,,
2528,NTFP_CULTURAL,1,,,,,
2533,NTFP_DECORATIVE,-2,,,,,
2538,NTFP_DECORATIVE,0,,,,,
2543,NTFP_DECORATIVE,1,,,,,
2548,NTFP_EDIBLE,-2,,,,,
2553,NTFP_EDIBLE,0,,,,,
2558,NTFP_EDIBLE,1,,,,,
2563,NTFP_MEDICINAL,-2,,,,,
2568,NTFP_MEDICINAL,0,,,,,
2573,NTFP_MEDICINAL,1,,,,,
2578,NTFP_OTHER,-2,,,,,
2583,NTFP_OTHER,0,,,,,
2588,NTFP_OTHER,1,,,,,
2593,NTFP_PERSONAL,-2,,,,,
2598,NTFP_PERSONAL,0,,,,,
2603,NTFP_PERSONAL,1,,,,,
2608,NTFP_RECENT,-2,,,,,
2613,NTFP_RECENT,0,,,,,
2618,NTFP_RECENT,1,,,,,
2623,NTFP_RECENT,2,,,,,
2628,NTFP_SALE,-2,,,,,
2633,NTFP_SALE,0,,,,,
2638,NTFP_SALE,1,,,,,
2643,OBJ_AESTHETICS,1,,,,,
2648,OBJ_AESTHETICS,2,,,,,
2653,OBJ_AESTHETICS,3,,,,,
2658,OBJ_AESTHETICS,4,,,,,
2663,OBJ_AESTHETICS,5,,,,,
2668,OBJ_AESTHETICS,6,,,,,
2673,OBJ_AESTHETICS,7,,,,,
2678,OBJ_BIODIVERSITY,1,,,,,
2683,OBJ_BIODIVERSITY,2,,,,,
2688,OBJ_BIODIVERSITY,3,,,,,
2693,OBJ_BIODIVERSITY,4,,,,,
2698,OBJ_BIODIVERSITY,5,,,,,
2703,OBJ_BIODIVERSITY,6,,,,,
2708,OBJ_BIODIVERSITY,7,,,,,
2713,OBJ_FARM,1,,,,,
2718,OBJ_FARM,2,,,,,
2723,OBJ_FARM,3,,,,,
2728,OBJ_FARM,4,,,,,
2733,OBJ_FARM,5,,,,,
2738,OBJ_FARM,6,,,,,
2743,OBJ_FARM,7,,,,,
2748,OBJ_FIREWOOD,1,,,,,
2753,OBJ_FIREWOOD,2,,,,,
2758,OBJ_FIREWOOD,3,,,,,
2763,OBJ_FIREWOOD,4,,,,,
2768,OBJ_FIREWOOD,5,,,,,
2773,OBJ_FIREWOOD,6,,,,,
2778,OBJ_FIREWOOD,7,,,,,
2783,OBJ_HOME,1,,,,,
2788,OBJ_HOME,2,,,,,
2793,OBJ_HOME,3,,,,,
2798,OBJ_HOME,4,,,,,
2803,OBJ_HOME,5,,,,,
2808,OBJ_HOME,6,,,,,
2813,OBJ_HOME,7,,,,,
2843,OBJ_HUNT,6,,,,,
2848,OBJ_HUNT,7,,,,,
2853,OBJ_INVEST,1,,,,,
2858,OBJ_INVEST,2,,,,,
2863,OBJ_INVEST,3,,,,,
2868,OBJ_INVEST,4,,,,,
2873,OBJ_INVEST,5,,,,,
2878,OBJ_INVEST,6,,,,,
2883,OBJ_INVEST,7,,,,,
2888,OBJ_LEGACY,1,,,,,
2893,OBJ_LEGACY,2,,,,,
2898,OBJ_LEGACY,3,,,,,
2903,OBJ_LEGACY,4,,,,,
2908,OBJ_LEGACY,5,,,,,
2913,OBJ_LEGACY,6,,,,,
2918,OBJ_LEGACY,7,,,,,
2948,OBJ_NTFP,6,,,,,
2953,OBJ_NTFP,7,,,,,
2958,OBJ_OTHER,1,,,,,
2963,OBJ_OTHER,2,,,,,
2968,OBJ_OTHER,3,,,,,
2973,OBJ_OTHER,4,,,,,
2978,OBJ_OTHER,5,,,,,
2983,OBJ_OTHER,6,,,,,
2988,OBJ_OTHER,7,,,,,
2993,OBJ_PRIVACY,1,,,,,
2998,OBJ_PRIVACY,2,,,,,
3003,OBJ_PRIVACY,3,,,,,
3008,OBJ_PRIVACY,4,,,,,
3013,OBJ_PRIVACY,5,,,,,
3018,OBJ_PRIVACY,6,,,,,
3023,OBJ_PRIVACY,7,,,,,
3028,OBJ_RECREATE,1,,,,,
3033,OBJ_RECREATE,2,,,,,
3038,OBJ_RECREATE,3,,,,,
3043,OBJ_RECREATE,4,,,,,
3048,OBJ_RECREATE,5,,,,,
3053,OBJ_RECREATE,6,,,,,
3058,OBJ_RECREATE,7,,,,,
3063,OBJ_TIMBER,1,,,,,
3068,OBJ_TIMBER,2,,,,,
3073,OBJ_TIMBER,3,,,,,
3078,OBJ_TIMBER,4,,,,,
3083,OBJ_TIMBER,5,,,,,
3088,OBJ_TIMBER,6,,,,,
3093,OBJ_TIMBER,7,,,,,
3098,OCC_NWOS_1,-2,,,,,
3103,OCC_NWOS_1,0,,,,,
3108,OCC_NWOS_1,1,,,,,
3113,OCC_NWOS_1,10,,,,,
3118,OCC_NWOS_1,11,,,,,
3123,OCC_NWOS_1,12,,,,,
3128,OCC_NWOS_1,13,,,,,
3133,OCC_NWOS_1,2,,,,,
3138,OCC_NWOS_1,3,,,,,
3143,OCC_NWOS_1,4,,,,,
3148,OCC_NWOS_1,5,,,,,
3153,OCC_NWOS_1,6,,,,,
3158,OCC_NWOS_1,7,,,,,
3163,OCC_NWOS_1,8,,,,,
3168,OCC_NWOS_1,9,,,,,
3173,OCC_NWOS_1,99,,,,,
3178,OCC_NWOS_2,-2,,,,,
3183,OCC_NWOS_2,0,,,,,
3188,OCC_NWOS_2,1,,,,,
3193,OCC_NWOS_2,10,,,,,
3198,OCC_NWOS_2,11,,,,,
3203,OCC_NWOS_2,12,,,,,
3208,OCC_NWOS_2,13,,,,,
3213,OCC_NWOS_2,2,,,,,
3218,OCC_NWOS_2,3,,,,,
3223,OCC_NWOS_2,4,,,,,
3228,OCC_NWOS_2,5,,,,,
3233,OCC_NWOS_2,6,,,,,
3238,OCC_NWOS_2,7,,,,,
